pr,pr_1,tas,tas_1,tasmax,tasmax_1,tasmin,tasmin_1,deltemp,deltemp_1,dengue_befor,dengue_befor_1,dengue_incidence
-0.792782174,1.081412255,0.50058344,0.742456967,1.644274371,1.205329584,-0.279722111,0.343145532,1.539774802,0.525442889,-0.661063786,-0.65707685,0.61
1.086651125,1.208864153,0.746761507,-0.044107427,1.210650295,0.312007825,0.350559705,0.337076939,0.516775524,-0.138191322,-0.661063786,-0.65707685,3.45
1.214137856,0.819538434,-0.032802373,0.411271959,0.316580035,0.32987426,0.3445283,0.822564321,-0.145165186,-0.657702952,-0.661063786,-0.65707685,8.95
0.824705731,1.704731694,0.418524084,-0.085505554,0.33446144,-0.317784015,0.827040696,0.646575145,-0.663351095,-0.95265149,-0.661063786,-0.65707685,5.93
1.710140921,2.422644338,-0.073832051,-0.251098058,-0.313739499,-0.643846458,0.652129952,0.610163592,-0.957546965,-1.153752767,-0.661063786,-0.65707685,4.65
2.428249775,0.962921819,-0.237950762,0.038688825,-0.640075144,-0.259718101,0.615941523,0.622300776,-1.158135059,-0.882266044,-0.661063786,-0.65707685,0.97
0.968128304,-0.280729905,0.049256983,-0.33389431,-0.255624932,-0.282051145,0.628004333,0.200533613,-0.887341133,-0.43313986,-0.661063786,-0.65707685,0.91
-0.275863318,-0.976736754,-0.320010118,-1.079060578,-0.277976689,-0.29991758,0.208821689,-0.958567511,-0.439361056,0.833798179,-0.661063786,-0.65707685,0.42
-0.97206039,-0.976736754,-1.05854432,-1.948421225,-0.295858094,-1.349570648,-0.943176654,-1.735347322,0.824343934,0.907535314,-0.661063786,-0.65707685,0.24
-0.97206039,-0.976736754,-1.920167556,-2.279606234,-1.34639065,-1.072640902,-1.715196487,-2.03574264,0.897892902,1.447157072,-0.661063786,-0.584845668,0.06
-0.97206039,-0.976736754,-2.248404979,-1.327449335,-1.069228869,0.128876864,-2.013751031,-1.50170652,1.43613762,1.755512362,-0.588694697,-0.584845668,0
-0.97206039,-0.976736754,-1.304722387,-0.002709301,0.133295631,1.236595846,-1.482987396,-0.606589159,1.743706031,1.601334717,-0.588694697,-0.584845668,0.12
-0.97206039,-0.4191347,0.008227305,1.23923448,1.241942754,1.669856899,-0.593355168,0.449345897,1.589921826,0.753357669,-0.588694697,-0.584845668,0.42
-0.41430594,2.941413392,1.239117642,-0.044107427,1.675566831,-0.072120532,0.456109292,0.537340485,0.744108697,-0.647647888,-0.588694697,-0.584845668,1.26
2.947160612,0.318692303,-0.032802373,0.494068211,-0.067870177,0.535338265,0.543564663,0.883250244,-0.65332169,-0.573910754,-0.588694697,-0.584845668,2.95
0.323722716,-0.233931161,0.50058344,0.162883203,0.5400976,-0.125719837,0.887354745,0.780084176,-0.579772722,-0.95265149,-0.588694697,-0.584845668,4.63
-0.229051783,0.54870315,0.172346017,0.121485077,-0.121514393,-0.036387661,0.784820861,0.689055291,-0.957546965,-0.788418782,-0.588694697,-0.584845668,4.45
0.553796427,0.813564126,0.131316339,0.121485077,-0.032107367,-0.18825236,0.694349787,0.598026407,-0.793733356,-0.801825533,-0.588694697,-0.584845668,3.01
0.818729791,-0.333502956,0.131316339,-0.33389431,-0.184099311,-0.420516018,0.603878713,0.212670798,-0.807105895,-0.550448938,-0.588694697,-0.584845668,1.14
-0.328650792,-0.244884058,-0.320010118,-1.451643713,-0.416557579,-1.211105775,0.220884499,-0.949464623,-0.556370778,0.136647089,-0.588694697,-0.584845668,0.9
-0.240007674,-0.976736754,-1.427811421,-1.989819351,-1.207809759,-1.023508205,-0.934129547,-1.938645163,0.128971876,1.373419937,-0.588694697,-0.584845668,0.24
