,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พ.ย.-18,8.5,25.9,54.45075355,20.28,32.47,12.2,1266.3758,24.7,24.4,39.12136809,19.21,31.39,12.18,1266.3758,,,,,,,,-0.881429498,-0.326631988,1.08,-0.365082351,-0.362616429,0.138726567,-0.21788434,,,,,,,,,,,,,,,
ธ.ค.-18,24.7,24.4,39.12136809,19.21,31.39,12.18,1266.3758,38.8,23.7,15.29810049,17.8,31.41,13.62,886.8891029,,,,,,,,-0.725050805,-0.947405204,0.74,-0.6904714,-0.853143647,0.131993271,-0.21788434,,,,,,,,,,,,,,,
ม.ค.-19,38.8,23.7,15.29810049,17.8,31.41,13.62,886.8891029,0,25.3,14.1590274,17.26,34.91,17.65,886.8891029,,,,,,,,-0.588943425,-1.237099371,0.11,-1.1192551,-0.84405981,0.616790572,-0.578119781,,,,,,,,,,,,,,,
ก.พ.-19,0,25.3,14.1590274,17.26,34.91,17.65,886.8891029,0,28.5,24.34076161,20.56,36.7,16.14,886.8891029,,,,,,,,-0.963480046,-0.574941274,0.23,-1.283470133,0.74561173,1.973549684,-0.578119781,,,,,,,,,,,,,,,
มี.ค.-19,0,28.5,24.34076161,20.56,36.7,16.14,886.8891029,22.3,31.2,29.99196442,23.49,39.24,15.74,886.8891029,,,,,,,,-0.963480046,0.749374918,0.51,-0.279933815,1.558615175,1.465185848,-0.578119781,,,,,,,,,,,,,,,
เม.ย.-19,22.3,31.2,29.99196442,23.49,39.24,15.74,886.8891029,77.3,31.1,58.81750794,25.7,37.22,11.52,886.8891029,,,,,,,,-0.748218019,1.866766705,1.13,0.611084795,2.71226252,1.330519931,-0.578119781,,,,,,,,,,,,,,,
พ.ค.-19,77.3,31.1,58.81750794,25.7,37.22,11.52,886.8891029,43.5,29.7,163.3649794,25.38,34.77,9.39,886.8891029,,,,,,,,-0.217302706,1.825381824,1.47,1.283150026,1.794794946,-0.090205492,-0.578119781,,,,,,,,,,,,,,,
มิ.ย.-19,43.5,29.7,163.3649794,25.38,34.77,9.39,886.8891029,97.3,29,405.0710145,25.06,33.72,8.66,886.8891029,,,,,,,,-0.543574298,1.24599349,4.47,1.185837413,0.682024868,-0.807301499,-0.578119781,,,,,,,,,,,,,,,
ก.ค.-19,97.3,29,405.0710145,25.06,33.72,8.66,886.8891029,238.3,27.4,411.8488346,24.48,32.35,7.87,886.8891029,,,,,,,,-0.024242592,0.956299323,10.85,1.088524801,0.205123407,-1.053066797,-0.578119781,,,,,,,,,,,,,,,
ส.ค.-19,238.3,27.4,411.8488346,24.48,32.35,7.87,886.8891029,214.3,27.8,390.5078969,23.51,33.75,10.24,886.8891029,,,,,,,,1.33683121,0.294141227,10.89,0.91214569,-0.417119453,-1.319031983,-0.578119781,,,,,,,,,,,,,,,
ก.ย.-19,214.3,27.8,390.5078969,23.51,33.75,10.24,886.8891029,175.5,27.8,349.531088,23.02,34.22,11.2,886.8891029,,,,,,,,1.105159073,0.459680751,8.34,0.617166833,0.218749163,-0.521136426,-0.578119781,,,,,,,,,,,,,,,
ต.ค.-19,175.5,27.8,349.531088,23.02,34.22,11.2,886.8891029,56,26.2,242.962523,20.42,33.04,12.63,886.8891029,,,,,,,,0.730622453,0.459680751,7.15,0.468156895,0.432219341,-0.197938225,-0.578119781,,,,,,,,,,,,,,,
พ.ย.-19,56,26.2,242.962523,20.42,33.04,12.63,886.8891029,9.1,22.3,89.36329495,15.11,30.59,15.48,886.8891029,,,,,,,,-0.422911727,-0.202477345,3.66,-0.322508083,-0.103727064,0.283492427,-0.578119781,,,,,,,,,,,,,,,
ธ.ค.-19,9.1,22.3,1.63,15.11,30.59,15.48,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ม.ค.-20,0,23.5,0.9,15.14,32.74,17.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.พ.-20,0,25.8,0.51,16.87,34.12,17.25,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มี.ค.-20,5.1,29.4,0.56,19.63,37.53,17.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เม.ย.-20,64.2,30.7,0.9,22.21,37.62,15.41,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พ.ค.-20,41.5,31,1.46,24.67,37.39,12.72,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มิ.ย.-20,98.9,29.5,4.15,25.11,35.34,10.23,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.ค.-20,137.8,29.3,6.55,24.66,34.38,9.72,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ส.ค.-20,389,27.6,4.88,24.15,32.16,8.01,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.ย.-20,251.5,28.2,4.77,24.37,33.06,8.69,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ต.ค.-20,95.1,27,2.41,22.74,30.99,8.25,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พ.ย.-20,2.1,26.4,1.79,20.91,32.86,11.95,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ธ.ค.-20,0,23.1,0.11,16.18,30.81,14.64,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ม.ค.-21,24.4,22.9,0.06,15.94,30.01,14.07,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.พ.-21,3.3,25.4,0.06,17.87,32.92,15.05,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มี.ค.-21,9.4,28.6,0.22,20.51,36.68,16.17,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เม.ย.-21,142.8,28.4,0.22,22.88,34.94,12.06,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พ.ค.-21,101.9,30.3,0.22,25.15,36.63,11.48,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มิ.ย.-21,131.5,28.7,0.45,24.31,33.49,9.18,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.ค.-21,135,28.3,0.56,24.43,32.89,8.46,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ส.ค.-21,108,28.5,0.28,24.55,33.31,8.77,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.ย.-21,239.8,27.6,0.11,23.7,32.87,9.17,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ต.ค.-21,165,27.3,0.22,23.11,32.84,9.72,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พ.ย.-21,44.4,26.7,0.11,21.61,32.41,10.8,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ธ.ค.-21,0,22.9,0.06,16.47,30.2,13.73,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ม.ค.-22,26.7,23.2,0.17,16.36,30.91,14.55,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.พ.-22,33.9,24.7,0.06,17.43,32.16,14.74,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มี.ค.-22,47,29.4,0.11,23.08,36,12.93,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เม.ย.-22,200.7,28.9,0.17,23.17,34.81,11.64,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พ.ค.-22,392,28.3,0.78,23.92,34.04,10.12,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มิ.ย.-22,81.2,29,2.57,24.48,34.41,9.94,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.ค.-22,171.7,28.4,6.87,24.35,33.82,9.47,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ส.ค.-22,262.1,27.7,9.05,23.95,33.13,9.19,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก.ย.-22,452.9,27.2,8.54,23.76,32.42,8.65,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ต.ค.-22,147,26.8,7.87,22.3,32.41,10.11,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พ.ย.-22,12.4,26,6.36,20.91,32.84,11.93,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ธ.ค.-22,0,25.1,2.68,18.75,31.46,12.7,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
