,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ส.ค.-06,341.4,26,82.78335777,23.49,31.79,8.31,492.1788374,194.8,26.7,28.38784807,23.53,32.65,9.12,492.1788374,,,,,,,,2.332056097,-0.285247107,4.65,0.611084795,-0.6714669,-1.170899475,-0.595550528,171.7,28.4,6.87,24.35,33.82,9.47,0.21,,0.693941031,0.707990037,6.87,0.872612441,0.250542593,-0.780368316,-1.103947321
ก.ย.-06,194.8,26.7,28.38784807,23.53,32.65,9.12,492.1788374,69.9,25.8,21.12963879,22.14,32.6,10.46,492.1788374,,,,,,,,0.916925462,0.00444706,0.97,0.623248871,-0.280861893,-0.898200993,-0.595550528,262.1,27.7,9.05,23.95,33.13,9.19,0.21,,1.566572745,0.41829587,9.05,0.750971676,-0.062849796,-0.874634458,-1.103947321
ต.ค.-06,69.9,25.8,21.12963879,22.14,32.6,10.46,492.1788374,0,24,9.653406506,18.32,32.56,14.24,492.1788374,,,,,,,,-0.288734948,-0.368016869,0.91,0.20054721,-0.303571486,-0.447070172,-0.595550528,452.9,27.2,8.54,23.76,32.42,8.65,0.21,,3.408366231,0.211371465,8.54,0.693192312,-0.385326022,-1.056433445,-1.103947321
พ.ย.-06,0,24,9.653406506,18.32,32.56,14.24,492.1788374,0,21.9,5.427251314,15.76,30.21,14.46,492.1788374,,,,,,,,-0.963480046,-1.112944728,0.42,-0.961122104,-0.321739161,0.825522743,-0.595550528,147,26.8,7.87,22.3,32.41,10.11,0.21,,0.45551179,0.045831941,7.87,0.249203516,-0.389867941,-0.564902849,-1.103947321
ธ.ค.-06,0,21.9,5.427251314,15.76,30.21,14.46,492.1788374,0,21.1,0.602882865,14.77,30.83,16.07,541.3224817,,,,,,,,-0.963480046,-1.982027229,0.24,-1.739623005,-1.389090052,0.899588997,-0.595550528,12.4,26,6.36,20.91,32.84,11.93,0.21,,-0.843782775,-0.285247107,6.36,-0.173498145,-0.194565438,0.047827073,-1.103947321
ม.ค.-07,0,21.1,0.602882865,14.77,30.83,16.07,541.3224817,0,23.4,1.808383667,16.53,33.52,16.99,541.3224817,,,,,,,,-0.963480046,-2.313106277,0.06,-2.040683901,-1.107491093,1.441619312,-0.520017291,0,25.1,2.68,18.75,31.46,12.7,0.21,,-0.963480046,-0.657711036,2.68,-0.830358281,-0.821350216,0.307058963,-1.103947321
ก.พ.-07,0,23.4,1.808383667,16.53,33.52,16.99,541.3224817,0,26.6,1.808422911,19.48,36,16.53,541.3224817,,,,,,,,-0.963480046,-1.361254014,0,-1.505464531,0.114285033,1.751350921,-0.520017291,,,,,,,,,,,,,,,
มี.ค.-07,0,26.6,1.808422911,19.48,36,16.53,541.3224817,56,29.6,7.232558083,22.96,36.97,14,541.3224817,,,,,,,,-0.963480046,-0.036937821,0.12,-0.608363883,1.240680867,1.596485117,-0.520017291,,,,,,,,,,,,,,,
เม.ย.-07,56,29.6,7.232558083,22.96,36.97,14,541.3224817,393.5,26.5,19.25187224,23.25,33.07,9.82,541.3224817,,,,,,,,-0.422911727,1.204608609,0.42,0.44991078,1.681246979,0.744723193,-0.520017291,,,,,,,,,,,,,,,
พ.ค.-07,393.5,26.5,19.25187224,23.25,33.07,9.82,541.3224817,130.1,27.8,59.50595631,24.39,34.43,10.04,541.3224817,,,,,,,,2.834977693,-0.078322702,1.26,0.538100335,-0.090101308,-0.662535639,-0.520017291,,,,,,,,,,,,,,,
มิ.ย.-07,130.1,27.8,59.50595631,24.39,34.43,10.04,541.3224817,74.6,27,96.19199923,24.05,32.95,8.91,541.3224817,,,,,,,,0.292375994,0.459680751,2.95,0.884776518,0.527599633,-0.588469384,-0.520017291,,,,,,,,,,,,,,,
ก.ค.-07,74.6,27,96.19199923,24.05,32.95,8.91,541.3224817,153.2,26.9,93.75078877,23.75,33.15,9.4,541.3224817,,,,,,,,-0.243365822,0.128601703,4.63,0.781381867,-0.144604332,-0.968900599,-0.520017291,,,,,,,,,,,,,,,
ส.ค.-07,153.2,26.9,93.75078877,23.75,33.15,9.4,541.3224817,179.8,26.9,58.90184128,23.45,32.81,9.36,541.3224817,,,,,,,,0.515360426,0.087216822,4.45,0.690151293,-0.053765958,-0.803934851,-0.520017291,,,,,,,,,,,,,,,
ก.ย.-07,179.8,26.9,58.90184128,23.45,32.81,9.36,541.3224817,64.6,25.8,28.83840699,22.18,32.29,10.11,541.3224817,,,,,,,,0.772130377,0.087216822,3.01,0.598920718,-0.208191194,-0.817401443,-0.520017291,,,,,,,,,,,,,,,
ต.ค.-07,64.6,25.8,28.83840699,22.18,32.29,10.11,541.3224817,73.5,23.1,25.84251093,18.35,30.52,12.16,541.3224817,,,,,,,,-0.339895878,-0.368016869,1.14,0.212711287,-0.444370965,-0.564902849,-0.520017291,,,,,,,,,,,,,,,
พ.ย.-07,73.5,23.1,25.84251093,18.35,30.52,12.16,541.3224817,0,21.8,6.008174723,15.09,30.94,15.85,541.3224817,,,,,,,,-0.253984128,-1.485408657,0.9,-0.951999046,-1.248290573,0.125259975,-0.520017291,,,,,,,,,,,,,,,
ธ.ค.-07,0,21.8,6.008174723,15.09,30.94,15.85,541.3224817,16.6,22.3,12.61374899,14.71,31.09,16.37,399.743798,,,,,,,,-0.963480046,-2.02341211,0.24,-1.943371288,-1.057529988,1.367553058,-0.520017291,,,,,,,,,,,,,,,
ม.ค.-08,16.6,22.3,12.61374899,14.71,31.09,16.37,399.743798,13.8,24.5,12.61102203,17.39,32.05,14.66,399.743798,,,,,,,,-0.803240152,-1.816487705,0.54,-2.058930016,-0.989401207,1.54261875,-0.700135011,,,,,,,,,,,,,,,
ก.พ.-08,13.8,24.5,12.61102203,17.39,32.05,14.66,399.743798,9.4,27.8,16.21195145,20.53,35.82,15.29,399.743798,,,,,,,,-0.830268567,-0.906020323,0.66,-1.243936885,-0.553377014,0.966921955,-0.700135011,,,,,,,,,,,,,,,
มี.ค.-08,9.4,27.8,16.21195145,20.53,35.82,15.29,399.743798,57.2,29.9,44.42243333,23.88,37.58,13.69,399.743798,,,,,,,,-0.872741793,0.459680751,0.48,-0.289056873,1.15892633,1.179020775,-0.700135011,,,,,,,,,,,,,,,
เม.ย.-08,57.2,29.9,44.42243333,23.88,37.58,13.69,399.743798,158.7,27.4,136.1840392,23.29,33.77,10.48,399.743798,,,,,,,,-0.411328121,1.328763252,1.98,0.729684542,1.958304019,0.640357107,-0.700135011,,,,,,,,,,,,,,,
พ.ค.-08,158.7,27.4,136.1840392,23.29,33.77,10.48,399.743798,147.1,28,354.1441457,24.12,33.86,9.73,399.743798,,,,,,,,0.568451957,0.294141227,5.88,0.550264412,0.227833,-0.440336876,-0.700135011,,,,,,,,,,,,,,,
มิ.ย.-08,147.1,28,354.1441457,24.12,33.86,9.73,399.743798,101.6,27.8,591.5769512,24.13,34.14,10.01,399.743798,,,,,,,,0.456477091,0.542450513,16.36,0.802669001,0.268710268,-0.69283547,-0.700135011,,,,,,,,,,,,,,,
ก.ค.-08,101.6,27.8,591.5769512,24.13,34.14,10.01,399.743798,170.9,27.3,582.067292,24.09,32.46,8.37,399.743798,,,,,,,,0.017265332,0.459680751,25.59,0.80571002,0.395883991,-0.598569328,-0.700135011,,,,,,,,,,,,,,,
ส.ค.-08,170.9,27.3,582.067292,24.09,32.46,8.37,399.743798,236.4,27,336.1596309,23.13,33.13,10,399.743798,,,,,,,,0.686218626,0.252756346,26.44,0.793545944,-0.367158348,-1.150699587,-0.700135011,,,,,,,,,,,,,,,
ก.ย.-08,236.4,27,336.1596309,23.13,33.13,10,399.743798,188.1,26.7,229.4405126,22.31,32.21,9.9,399.743798,,,,,,,,1.318490499,0.128601703,16.06,0.501608106,-0.062849796,-0.601935976,-0.700135011,,,,,,,,,,,,,,,
ต.ค.-08,188.1,26.7,229.4405126,22.31,32.21,9.9,399.743798,34.1,24.2,161.6964957,17.58,30.84,13.25,399.743798,,,,,,,,0.852250324,0.00444706,10.06,0.252244536,-0.480706315,-0.635602455,-0.700135011,,,,,,,,,,,,,,,
พ.ย.-08,34.1,24.2,161.6964957,17.58,30.84,13.25,399.743798,7.1,21.6,76.63216024,14.67,28.86,14.19,399.743798,,,,,,,,-0.634312552,-1.030174966,6.83,-1.186157521,-1.102949175,0.492224599,-0.700135011,,,,,,,,,,,,,,,
ธ.ค.-08,7.1,21.6,76.63216024,14.67,28.86,14.19,399.743798,0,21.4,53.51679135,13.26,28.75,15.5,2553.760383,,,,,,,,-0.894943706,-2.106181872,2.75,-2.071094092,-2.002249074,0.808689503,-0.700135011,,,,,,,,,,,,,,,
ม.ค.-09,0,21.4,53.51679135,13.26,28.75,15.5,2553.760383,0,25.4,27.0072361,16.48,34.32,17.83,2553.760383,,,,,,,,-0.963480046,-2.188951634,2.4,-2.499877792,-2.05221018,1.249720381,1.586197992,,,,,,,,,,,,,,,
ก.พ.-09,0,25.4,27.0072361,16.48,34.32,17.83,2553.760383,16.7,27.1,20.87686518,19.09,35.31,16.22,2553.760383,,,,,,,,-0.963480046,-0.533556393,0.86,-1.520669627,0.477638528,2.034149347,1.586197992,,,,,,,,,,,,,,,
มี.ค.-09,16.7,27.1,20.87686518,19.09,35.31,16.22,2553.760383,97.9,29.6,33.1521629,23.5,36.42,12.91,2553.760383,,,,,,,,-0.802274851,0.169986584,1.41,-0.72696363,0.927288477,1.492119031,1.586197992,,,,,,,,,,,,,,,
เม.ย.-09,97.9,29.6,33.1521629,23.5,36.42,12.91,2553.760383,142,28.5,92.64400468,23.75,34.94,11.19,2553.760383,,,,,,,,-0.018450789,1.204608609,0.98,0.614125814,1.431441451,0.377758569,1.586197992,,,,,,,,,,,,,,,
พ.ค.-09,142,28.5,92.64400468,23.75,34.94,11.19,2553.760383,140.2,27.7,192.5131985,23.49,31.98,8.49,2553.760383,,,,,,,,0.407246762,0.749374918,4.79,0.690151293,0.759237486,-0.201304873,1.586197992,,,,,,,,,,,,,,,
มิ.ย.-09,140.2,27.7,192.5131985,23.49,31.98,8.49,2553.760383,124,27.8,197.5062687,24.06,32.13,8.07,2553.760383,,,,,,,,0.389871352,0.41829587,7.91,0.611084795,-0.585170445,-1.110299812,1.586197992,,,,,,,,,,,,,,,
ก.ค.-09,124,27.8,197.5062687,24.06,32.13,8.07,2553.760383,126.8,28,176.0172509,23.76,33.2,9.44,2553.760383,,,,,,,,0.23349266,0.459680751,6.93,0.784422886,-0.517041664,-1.251699025,1.586197992,,,,,,,,,,,,,,,
