,,,,,,,,,,,,,,,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor
38.8,27,3.625579186,22.565,33.15652174,10.59152174,1.217877747,2,,,,,,,,-0.589584867,-0.336772377,36.25579186,0.336997053,-0.029009822,-0.395300644,-0.867917013
1,24.3,1.087191555,17.992,31.89130435,13.89930435,1.217877747,4.7,,,,,,,,-0.976723974,0.94409923,10.87191555,-1.041939143,-0.594672633,0.710486325,-0.867917013
25,23.2,1.690046651,16.81666667,30.97391304,14.15724638,2.8648322,5.8,,,,,,,,-0.730921366,1.465935811,16.90046651,-1.396347556,-1.00482677,0.796715975,-0.409441809
31.6,26.9,1.267251211,20.824,34.26,13.436,2.8648322,2.1,,,,,,,,-0.663325649,-0.289332687,12.67251211,-0.187981717,0.464341454,0.555604347,-0.409441809
17.1,27.6,1.809848835,19.93333333,35.336,15.40266667,2.8648322,1.4,,,,,,,,-0.811831391,-0.621410512,18.09848835,-0.456552133,0.945407545,1.213058187,-0.409441809
1.2,31.2,6.815123785,24.58636364,38,13.41363636,2.8648322,2.2,,,,,,,,-0.974675619,-0.241892998,68.15123785,0.946516294,2.136448499,0.548128215,-0.409441809
89.9,29.8,18.25802751,24.74285714,36.648,11.90514286,2.8648322,0.8,,,,,,,,-0.066230147,-0.906048646,182.5802751,0.993705131,1.531986273,0.043841007,-0.409441809
39.7,28.9,30.0346753,25.68846154,34.23478261,8.54632107,2.8648322,0.1,,,,,,,,-0.580367269,-1.23812647,300.346753,1.278841395,0.453067075,-1.079008287,-0.409441809
272.9,27.9,38.68309044,24.40434783,32.78333333,8.378985507,2.8648322,1.1,,,,,,,,1.808014739,-0.763729579,386.8309044,0.891631494,-0.195857675,-1.134948325,-0.409441809
299.4,27.3,30.12415843,24.2173913,31.56818182,7.350790514,2.8648322,1.7,,,,,,,,2.079421785,-0.479091444,301.2415843,0.835256877,-0.73913666,-1.478672432,-0.409441809
